Unnamed: 0,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,median_gross_rent,median_household_income,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category,cbsa_num,fmr_2br,cbsacode18,WRLURI18,num_municipalities,welfare_loss_index,welfare_loss_score,zoning_tax,zoning_tax_pct,log_renters,predicted_burden,residual
88,"Chico, CA Metro Area",34895,2571,2397,3490,9811,1280,66085,17020,18269,9811,52.35,28.12,"Chico, CA",CA,Very High (50%+),17020.0,1177.0,17020.0,-1.1931996,1,27.35,79.64,103.0,8.75,10.460098831451251,50.2,2.15
89,"Cincinnati, OH-KY-IN Metro Area",286425,20884,16625,19797,61645,990,76247,17140,118951,61645,41.53,21.52,"Cincinnati, OH-KY-IN",OH,High (40-49%),17140.0,793.0,17140.0,-0.49301097,26,16.53,48.14,197.0,24.84,12.565232000761826,44.31,-2.78
90,"Cincinnati, OH-KY-IN Metro Area",286425,20884,16625,19797,61645,990,76247,17140,118951,61645,41.53,21.52,"Cincinnati, OH-KY-IN",OH,High (40-49%),17140.0,968.0,17140.0,-0.49301097,26,16.53,48.14,22.0,2.27,12.565232000761826,44.36,-2.83
91,"Cincinnati, OH-KY-IN Metro Area",286425,20884,16625,19797,61645,990,76247,17140,118951,61645,41.53,21.52,"Cincinnati, OH-KY-IN",OH,High (40-49%),17140.0,812.0,17140.0,-0.49301097,26,16.53,48.14,178.0,21.92,12.565232000761826,44.32,-2.79
92,"Cincinnati, OH-KY-IN Metro Area",286425,20884,16625,19797,61645,990,76247,17140,118951,61645,41.53,21.52,"Cincinnati, OH-KY-IN",OH,High (40-49%),17140.0,829.0,17140.0,-0.49301097,26,16.53,48.14,161.0,19.42,12.565232000761826,44.32,-2.79
93,"Clarksville, TN-KY Metro Area",45083,3975,2890,4177,8295,1064,62188,17300,19337,8295,42.89,18.4,"Clarksville, TN-KY",TN,High (40-49%),17300.0,910.0,17300.0,-0.97739214,1,17.89,52.1,154.0,16.92,10.716260514297943,40.11,2.78
94,"Clarksville, TN-KY Metro Area",45083,3975,2890,4177,8295,1064,62188,17300,19337,8295,42.89,18.4,"Clarksville, TN-KY",TN,High (40-49%),17300.0,699.0,17300.0,-0.97739214,1,17.89,52.1,365.0,52.22,10.716260514297943,40.02,2.87
96,"Cleveland-Elyria, OH Metro Area",307569,25684,16582,22375,68110,957,66481,17460,132751,68110,43.16,22.14,"Cleveland-Elyria, OH",OH,High (40-49%),17460.0,893.0,17460.0,0.1645125,19,18.159999999999997,52.88,64.0,7.17,12.636454731300887,45.4,-2.24
97,"Coeur d'Alene, ID Metro Area",18544,1853,1680,2004,3625,1216,71949,17660,9162,3625,49.41,19.55,"Coeur d'Alene, ID",ID,High (40-49%),17660.0,1047.0,17660.0,-0.35753945,2,24.409999999999997,71.08,169.0,16.14,9.827901565579532,41.35,8.06
98,"College Station-Bryan, TX Metro Area",49065,3379,3203,4637,15199,1107,58659,17780,26418,15199,53.84,30.98,"College Station-Bryan, TX",TX,Very High (50%+),17780.0,975.0,17780.0,-0.8750594,1,28.840000000000003,83.98,132.0,13.54,10.800901228640594,53.51,0.33
99,"Colorado Springs, CO Metro Area",95470,9064,7708,9624,23093,1508,82334,17820,49489,23093,51.84,24.19,"Colorado Springs, CO",CO,Very High (50%+),17820.0,1302.0,17820.0,-0.24870446,2,26.840000000000003,78.16,206.0,15.82,11.466567340992079,46.9,4.94
100,"Columbia, MO Metro Area",33546,2234,1790,3040,8863,981,65863,17860,15927,8863,47.48,26.42,"Columbia, MO",MO,High (40-49%),17860.0,878.0,17860.0,-0.79167813,1,22.479999999999997,65.46,103.0,11.73,10.4206729102547,48.6,-1.12
101,"Columbia, MO Metro Area",33546,2234,1790,3040,8863,981,65863,17860,15927,8863,47.48,26.42,"Columbia, MO",MO,High (40-49%),17860.0,713.0,17860.0,-0.79167813,1,22.479999999999997,65.46,268.0,37.59,10.4206729102547,48.54,-1.06
102,"Columbia, MO Metro Area",33546,2234,1790,3040,8863,981,65863,17860,15927,8863,47.48,26.42,"Columbia, MO",MO,High (40-49%),17860.0,689.0,17860.0,-0.79167813,1,22.479999999999997,65.46,292.0,42.38,10.4206729102547,48.53,-1.05
103,"Columbia, SC Metro Area",102879,8159,6021,8438,26837,1096,63471,17900,49455,26837,48.07,26.09,"Columbia, SC",SC,High (40-49%),17900.0,990.0,17900.0,-0.26319113,4,23.07,67.18,106.0,10.71,11.541308819361998,48.94,-0.87
104,"Columbus, GA-AL Metro Area",53949,4233,3182,4521,12055,999,55720,17980,23991,12055,44.47,22.35,"Columbus, GA-AL",GA,High (40-49%),17980.0,827.0,17980.0,-1.459357,1,19.47,56.7,172.0,20.8,10.895794434833306,44.07,0.4
105,"Columbus, GA-AL Metro Area",53949,4233,3182,4521,12055,999,55720,17980,23991,12055,44.47,22.35,"Columbus, GA-AL",GA,High (40-49%),17980.0,704.0,17980.0,-1.459357,1,19.47,56.7,295.0,41.9,10.895794434833306,44.02,0.45
