,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,median_gross_rent,median_household_income,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category,cbsa_num,fmr_2br
107,"Columbus, IN Metro Area",9782,620,448,436,1828,1063,76912,18020,3332,1828,34.06,18.69,"Columbus, IN",IN,Moderate (30-39%),18020.0,953.0
108,"Columbus, OH Metro Area",323450,25277,18545,23736,64495,1146,76541,18140,132053,64495,40.83,19.94,"Columbus, OH",OH,High (40-49%),18140.0,1032.0
109,"Corpus Christi, TX Metro Area",60538,4843,4409,5319,14027,1183,64005,18580,28598,14027,47.24,23.17,"Corpus Christi, TX",TX,High (40-49%),18580.0,1118.0
110,"Corvallis, OR Metro Area",16662,1025,970,1423,5890,1315,72882,18700,9308,5890,55.86,35.35,"Corvallis, OR",OR,Very High (50%+),18700.0,1272.0
111,"Crestview-Fort Walton Beach-Destin, FL Metro Area",34312,3876,2707,3706,6924,1391,74279,18880,17213,6924,50.17,20.18,"Crestview-Fort Walton Beach-Destin, FL",FL,Very High (50%+),18880.0,1172.0
112,"Cumberland, MD-WV Metro Area",10209,829,455,985,1779,735,57539,19060,4048,1779,39.65,17.43,"Cumberland, MD-WV",MD,Moderate (30-39%),19060.0,757.0
113,"Dallas-Fort Worth-Arlington, TX Metro Area",1105476,100523,76784,104447,239350,1409,83398,19100,521104,239350,47.14,21.65,"Dallas-Fort Worth-Arlington, TX",TX,High (40-49%),19100.0,1362.0
114,"Dallas-Fort Worth-Arlington, TX Metro Area",1105476,100523,76784,104447,239350,1409,83398,19100,521104,239350,47.14,21.65,"Dallas-Fort Worth-Arlington, TX",TX,High (40-49%),19100.0,1269.0
115,"Dalton, GA Metro Area",15405,1021,904,1544,2411,833,60017,19140,5880,2411,38.17,15.65,"Dalton, GA",GA,Moderate (30-39%),19140.0,806.0
116,"Danville, IL Metro Area",9123,849,515,427,1749,769,52787,19180,3540,1749,38.8,19.17,"Danville, IL",IL,Moderate (30-39%),19180.0,802.0
117,"Daphne-Fairhope-Foley, AL Metro Area",20094,1527,1142,2053,4227,1160,71039,19300,8949,4227,44.54,21.04,"Daphne-Fairhope-Foley, AL",AL,High (40-49%),19300.0,1017.0
118,"Davenport-Moline-Rock Island, IA-IL Metro Area",46638,3550,2694,4073,8991,875,68395,19340,19308,8991,41.4,19.28,"Davenport-Moline-Rock Island, IA-IL",IA,High (40-49%),19340.0,805.0
119,"Dayton-Kettering, OH Metro Area",119753,10415,6498,8205,24253,941,67088,19430,49371,24253,41.23,20.25,"Dayton-Kettering, OH",OH,High (40-49%),,
120,"Decatur, AL Metro Area",15720,1297,446,1297,2724,772,60036,19460,5764,2724,36.67,17.33,"Decatur, AL",AL,Moderate (30-39%),19460.0,720.0
121,"Decatur, IL Metro Area",13472,1059,589,747,2631,774,59622,19500,5026,2631,37.31,19.53,"Decatur, IL",IL,Moderate (30-39%),19500.0,794.0
122,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",74758,5773,4947,7667,20025,1311,64197,19660,38412,20025,51.38,26.79,"Deltona-Daytona Beach-Ormond Beach, FL",FL,Very High (50%+),19660.0,1135.0
123,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",74758,5773,4947,7667,20025,1311,64197,19660,38412,20025,51.38,26.79,"Deltona-Daytona Beach-Ormond Beach, FL",FL,Very High (50%+),19660.0,1193.0
124,"Denver-Aurora-Lakewood, CO Metro Area",421824,41919,28382,38530,98838,1706,96920,19740,207669,98838,49.23,23.43,"Denver-Aurora-Lakewood, CO",CO,High (40-49%),19740.0,1659.0
125,"Des Moines-West Des Moines, IA Metro Area",86217,7233,5249,6351,15465,1063,81103,19780,34298,15465,39.78,17.94,"Des Moines-West Des Moines, IA",IA,Moderate (30-39%),19780.0,935.0
126,"Des Moines-West Des Moines, IA Metro Area",86217,7233,5249,6351,15465,1063,81103,19780,34298,15465,39.78,17.94,"Des Moines-West Des Moines, IA",IA,Moderate (30-39%),19780.0,757.0
127,"Detroit-Warren-Dearborn, MI Metro Area",513025,42672,28581,39484,123691,1112,72456,19820,234428,123691,45.7,24.11,"Detroit-Warren-Dearborn, MI",MI,High (40-49%),19820.0,1084.0
128,"Detroit-Warren-Dearborn, MI Metro Area",513025,42672,28581,39484,123691,1112,72456,19820,234428,123691,45.7,24.11,"Detroit-Warren-Dearborn, MI",MI,High (40-49%),19820.0,1125.0
129,"Dothan, AL Metro Area",18100,1324,821,1207,3841,822,54171,20020,7193,3841,39.74,21.22,"Dothan, AL",AL,Moderate (30-39%),20020.0,705.0
130,"Dover, DE Metro Area",20352,1954,1438,1828,4975,1224,69278,20100,10195,4975,50.09,24.44,"Dover, DE",DE,Very High (50%+),20100.0,1002.0
131,"Dubuque, IA Metro Area",10673,656,589,705,2680,912,73495,20220,4630,2680,43.38,25.11,"Dubuque, IA",IA,High (40-49%),20220.0,834.0
132,"Duluth, MN-WI Metro Area",33355,3185,1805,2602,7626,909,67612,20260,15218,7626,45.62,22.86,"Duluth, MN-WI",MN,High (40-49%),20260.0,936.0
133,"Duluth, MN-WI Metro Area",33355,3185,1805,2602,7626,909,67612,20260,15218,7626,45.62,22.86,"Duluth, MN-WI",MN,High (40-49%),20260.0,826.0
134,"Durham-Chapel Hill, NC Metro Area",94981,9245,5434,6877,21459,1249,76040,20500,43015,21459,45.29,22.59,"Durham-Chapel Hill, NC",NC,High (40-49%),20500.0,1199.0
135,"Durham-Chapel Hill, NC Metro Area",94981,9245,5434,6877,21459,1249,76040,20500,43015,21459,45.29,22.59,"Durham-Chapel Hill, NC",NC,High (40-49%),20500.0,863.0
136,"East Stroudsburg, PA Metro Area",12589,1108,581,1280,3386,1311,80656,20700,6355,3386,50.48,26.9,"East Stroudsburg, PA",PA,Very High (50%+),20700.0,1153.0
137,"Eau Claire, WI Metro Area",22395,1679,1263,1571,3965,925,70009,20740,8478,3965,37.86,17.7,"Eau Claire, WI",WI,Moderate (30-39%),20740.0,836.0
138,"El Centro, CA Metro Area",19902,1839,1543,1537,5146,961,53847,20940,10065,5146,50.57,25.86,"El Centro, CA",CA,Very High (50%+),20940.0,1065.0
139,"Elizabethtown-Fort Knox, KY Metro Area",20407,1161,982,1226,2978,902,64111,21060,6347,2978,31.1,14.59,"Elizabethtown-Fort Knox, KY",KY,Moderate (30-39%),21060.0,835.0
140,"Elkhart-Goshen, IN Metro Area",20633,1944,1203,1573,4275,945,63978,21140,8995,4275,43.6,20.72,"Elkhart-Goshen, IN",IN,High (40-49%),21140.0,865.0
141,"Elmira, NY Metro Area",10978,1045,605,783,2958,991,61358,21300,5391,2958,49.11,26.94,"Elmira, NY",NY,High (40-49%),21300.0,944.0
142,"El Paso, TX Metro Area",108524,9244,7411,10141,24594,977,55344,21340,51390,24594,47.35,22.66,"El Paso, TX",TX,High (40-49%),21340.0,840.0
143,"Enid, OK Metro Area",8158,610,520,542,1405,868,64165,21420,3077,1405,37.72,17.22,"Enid, OK",OK,Moderate (30-39%),21420.0,866.0
