cbsa_num,area_name,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
38940.0,"Port St. Lucie, FL MSA",980,987,1275,1711,1962
38860.0,"Portland, ME HUD Metro FMR Area",1143,1330,1721,2195,2689
38900.0,"Portland-Vancouver-Hillsboro, OR-WA MSA",1416,1512,1735,2451,2903
14460.0,"Portsmouth-Rochester, NH HUD Metro FMR Area",977,1092,1399,1871,2295
39100.0,"Poughkeepsie-Newburgh-Middletown, NY MSA",1033,1107,1412,1796,2022
38540.0,"Power County, ID HUD Metro FMR Area",567,648,853,1212,1460
39300.0,"Providence-Fall River, RI-MA HUD Metro FMR Area",913,1026,1234,1525,1868
39340.0,"Provo-Orem, UT MSA",880,914,1041,1479,1782
39380.0,"Pueblo, CO MSA",783,800,1052,1377,1638
39460.0,"Punta Gorda, FL MSA",832,928,1142,1622,1955
26580.0,"Putnam County, WV HUD Metro FMR Area",699,714,940,1237,1455
39540.0,"Racine, WI MSA",619,708,931,1219,1336
39580.0,"Raleigh, NC MSA",1038,1073,1223,1517,1982
39660.0,"Rapid City, SD HUD Metro FMR Area",608,695,915,1294,1457
39740.0,"Reading, PA MSA",690,811,1038,1286,1408
39820.0,"Redding, CA MSA",834,954,1255,1783,2148
39900.0,"Reno, NV MSA",926,1108,1394,1980,2386
40060.0,"Richmond, VA MSA",1022,1044,1189,1556,1864
40140.0,"Riverside-San Bernardino-Ontario, CA MSA",1062,1202,1509,2065,2542
40220.0,"Roanoke, VA HUD Metro FMR Area",617,700,879,1187,1316
40340.0,"Rochester, MN HUD Metro FMR Area",732,865,1094,1554,1872
40380.0,"Rochester, NY HUD Metro FMR Area",727,828,1039,1284,1409
40420.0,"Rockford, IL MSA",555,635,836,1140,1214
40580.0,"Rocky Mount, NC MSA",625,639,813,1106,1198
40660.0,"Rome, GA MSA",654,658,864,1154,1334
40900.0,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",1108,1228,1543,2192,2625
40980.0,"Saginaw, MI MSA",553,633,833,1041,1130
41420.0,"Salem, OR MSA",846,882,1132,1608,1938
41500.0,"Salinas, CA MSA",1533,1616,1967,2794,3081
41540.0,"Salisbury, MD HUD Metro FMR Area",787,788,1037,1398,1566
41620.0,"Salt Lake City, UT HUD Metro FMR Area",924,1112,1327,1843,2066
41660.0,"San Angelo, TX HUD Metro FMR Area",659,790,992,1314,1629
41700.0,"San Antonio-New Braunfels, TX HUD Metro FMR Area",815,961,1165,1500,1849
41740.0,"San Diego-Carlsbad, CA MSA",1573,1739,2232,3099,3795
